step,x,y,psi,K,Kcmd,ds,wp_index,detour_wp_x,detour_wp_y,detour_kf,detour_obs_idx
133,13.6575,3.38599,0.70534,0.0794299,0,0.01,0,nan,nan,nan,-1
134,13.6652,3.39248,0.706134,0.0793584,0,0.01,0,nan,nan,nan,-1
135,13.6728,3.39897,0.706928,0.079287,0,0.01,0,nan,nan,nan,-1
136,13.6804,3.40547,0.70772,0.0792156,0,0.01,0,nan,nan,nan,-1
137,13.688,3.41197,0.708512,0.0791442,0,0.01,0,nan,nan,nan,-1
138,13.6956,3.41848,0.709303,0.0790727,0,0.01,0,nan,nan,nan,-1
139,13.7031,3.425,0.710093,0.0790013,0,0.01,0,nan,nan,nan,-1
140,13.7107,3.43152,0.710883,0.0789299,0,0.01,0,nan,nan,nan,-1
141,13.7183,3.43805,0.711672,0.0788584,0,0.01,0,nan,nan,nan,-1
142,13.7259,3.44458,0.71246,0.078787,0,0.01,0,nan,nan,nan,-1
143,13.7334,3.45112,0.713248,0.0787156,0,0.01,0,nan,nan,nan,-1
144,13.741,3.45767,0.714034,0.0786442,0,0.01,0,nan,nan,nan,-1
145,13.7485,3.46422,0.714821,0.0785727,0,0.00999999,0,nan,nan,nan,-1
146,13.7561,3.47078,0.715606,0.0785013,0,0.00999999,0,nan,nan,nan,-1
147,13.7636,3.47734,0.716391,0.0784299,0,0.00999999,0,nan,nan,nan,-1
148,13.7712,3.48391,0.717174,0.0783584,0,0.00999999,0,nan,nan,nan,-1
149,13.7787,3.49048,0.717958,0.078287,0,0.00999999,0,nan,nan,nan,-1
150,13.7862,3.49707,0.71874,0.0782156,0,0.00999999,0,nan,nan,nan,-1
151,13.7938,3.50365,0.719522,0.0781442,0,0.00999999,0,nan,nan,nan,-1
152,13.8013,3.51025,0.720303,0.0780727,0,0.00999999,0,nan,nan,nan,-1
153,13.8088,3.51685,0.721083,0.0780013,0,0.00999999,0,nan,nan,nan,-1
154,13.8163,3.52345,0.721863,0.0779299,0,0.00999999,0,nan,nan,nan,-1
155,13.8238,3.53006,0.722642,0.0778584,0,0.00999999,0,nan,nan,nan,-1
156,13.8313,3.53668,0.72342,0.077787,0,0.00999999,0,nan,nan,nan,-1
157,13.8388,3.5433,0.724198,0.0777156,0,0.00999999,0,nan,nan,nan,-1
158,13.8463,3.54993,0.724975,0.0776442,0,0.00999999,0,nan,nan,nan,-1
159,13.8538,3.55656,0.725751,0.0775727,0,0.00999999,0,nan,nan,nan,-1
160,13.8612,3.5632,0.726526,0.0775013,0,0.00999999,0,nan,nan,nan,-1
161,13.8687,3.56985,0.727301,0.0774299,0,0.00999999,0,nan,nan,nan,-1
162,13.8762,3.5765,0.728075,0.0773584,0,0.00999999,0,nan,nan,nan,-1
163,13.8836,3.58316,0.728848,0.077287,0,0.00999999,0,nan,nan,nan,-1
164,13.8911,3.58982,0.72962,0.0772156,0,0.00999999,0,nan,nan,nan,-1
165,13.8986,3.59649,0.730392,0.0771442,0,0.00999999,0,nan,nan,nan,-1
166,13.906,3.60316,0.731163,0.0770727,0,0.00999999,0,nan,nan,nan,-1
167,13.9134,3.60984,0.731934,0.0770013,0,0.00999999,0,nan,nan,nan,-1
168,13.9209,3.61653,0.732703,0.0769299,0,0.00999999,0,nan,nan,nan,-1
169,13.9283,3.62322,0.733472,0.0768584,0,0.00999999,0,nan,nan,nan,-1
170,13.9357,3.62992,0.73424,0.076787,0,0.00999999,0,nan,nan,nan,-1
171,13.9432,3.63662,0.735008,0.0767156,0,0.00999999,0,nan,nan,nan,-1
172,13.9506,3.64333,0.735775,0.0766442,0,0.00999999,0,nan,nan,nan,-1
173,13.958,3.65004,0.736541,0.0765727,0,0.00999999,0,nan,nan,nan,-1
174,13.9654,3.65676,0.737306,0.0765013,0,0.00999999,0,nan,nan,nan,-1
175,13.9728,3.66349,0.738071,0.0764299,0,0.00999999,0,nan,nan,nan,-1
176,13.9802,3.67022,0.738835,0.0763584,0,0.00999999,0,nan,nan,nan,-1
177,13.9876,3.67696,0.739598,0.076287,0,0.00999999,0,nan,nan,nan,-1
178,13.995,3.6837,0.740361,0.0762156,0,0.00999999,0,nan,nan,nan,-1
179,14.0023,3.69045,0.741122,0.0761442,0,0.00999999,0,nan,nan,nan,-1
180,14.0097,3.6972,0.741883,0.0760727,0,0.00999999,0,nan,nan,nan,-1
181,14.0171,3.70396,0.742644,0.0760013,0,0.00999999,0,nan,nan,nan,-1
182,14.0244,3.71073,0.743403,0.0759299,0,0.00999999,0,nan,nan,nan,-1
183,14.0318,3.7175,0.744162,0.0758584,0,0.00999999,0,nan,nan,nan,-1
184,14.0392,3.72428,0.744921,0.075787,0,0.00999999,0,nan,nan,nan,-1
185,14.0465,3.73106,0.745678,0.0757156,0,0.00999999,0,nan,nan,nan,-1
186,14.0539,3.73784,0.746435,0.0756442,0,0.00999999,0,nan,nan,nan,-1
187,14.0612,3.74464,0.747191,0.0755727,0,0.00999999,0,nan,nan,nan,-1
188,14.0685,3.75144,0.747946,0.0755013,0,0.00999999,0,nan,nan,nan,-1
189,14.0759,3.75824,0.748701,0.0754299,0,0.00999999,0,nan,nan,nan,-1
190,14.0832,3.76505,0.749455,0.0753584,0,0.00999999,0,nan,nan,nan,-1
191,14.0905,3.77187,0.750208,0.075287,0,0.00999999,0,nan,nan,nan,-1
192,14.0978,3.77869,0.750961,0.0752156,0,0.00999999,0,nan,nan,nan,-1
193,14.1051,3.78551,0.751713,0.0751442,0,0.00999999,0,nan,nan,nan,-1
194,14.1124,3.79234,0.752464,0.0750727,0,0.00999999,0,nan,nan,nan,-1
195,14.1197,3.79918,0.753214,0.0750013,0,0.00999999,0,nan,nan,nan,-1
196,14.127,3.80602,0.753964,0.0749299,0,0.00999999,0,nan,nan,nan,-1
197,14.1343,3.81287,0.754713,0.0748584,0,0.00999999,0,nan,nan,nan,-1
198,14.1416,3.81973,0.755461,0.074787,0,0.00999999,0,nan,nan,nan,-1
199,14.1489,3.82658,0.756208,0.0747156,0,0.00999999,0,nan,nan,nan,-1
200,14.1561,3.83345,0.756955,0.0746442,0,0.00999999,0,nan,nan,nan,-1
201,14.1634,3.84032,0.757701,0.0745727,0,0.00999999,0,nan,nan,nan,-1
202,14.1707,3.84719,0.758447,0.0745013,0,0.00999999,0,nan,nan,nan,-1
203,14.1779,3.85407,0.759191,0.0744299,0,0.00999999,0,nan,nan,nan,-1
204,14.1852,3.86096,0.759935,0.0743584,0,0.00999999,0,nan,nan,nan,-1
205,14.1924,3.86785,0.760678,0.074287,0,0.00999999,0,nan,nan,nan,-1
206,14.1996,3.87475,0.761421,0.0742156,0,0.00999999,0,nan,nan,nan,-1
207,14.2069,3.88165,0.762163,0.0741442,0,0.00999999,0,nan,nan,nan,-1
208,14.2141,3.88856,0.762904,0.0740727,0,0.00999999,0,nan,nan,nan,-1
209,14.2213,3.89547,0.763644,0.0740013,0,0.00999999,0,nan,nan,nan,-1
210,14.2286,3.90239,0.764384,0.0739299,0,0.00999999,0,nan,nan,nan,-1
211,14.2358,3.90931,0.765123,0.0738584,0,0.00999999,0,nan,nan,nan,-1
212,14.243,3.91624,0.765861,0.073787,0,0.00999999,0,nan,nan,nan,-1
213,14.2502,3.92318,0.766599,0.0737156,0,0.00999999,0,nan,nan,nan,-1
214,14.2574,3.93012,0.767335,0.0736442,0,0.00999999,0,nan,nan,nan,-1
215,14.2646,3.93706,0.768071,0.0735727,0,0.00999999,0,nan,nan,nan,-1
216,14.2718,3.94401,0.768807,0.0735013,0,0.00999999,0,nan,nan,nan,-1
217,14.279,3.95097,0.769541,0.0734299,0,0.00999999,0,nan,nan,nan,-1
218,14.2861,3.95793,0.770275,0.0733584,0,0.00999999,0,nan,nan,nan,-1
219,14.2933,3.96489,0.771009,0.073287,0,0.00999999,0,nan,nan,nan,-1
220,14.3005,3.97186,0.771741,0.0732156,0,0.00999999,0,nan,nan,nan,-1
221,14.3077,3.97884,0.772473,0.0731442,0,0.00999999,0,nan,nan,nan,-1
222,14.3148,3.98582,0.773204,0.0730727,0,0.00999999,0,nan,nan,nan,-1
223,14.322,3.99281,0.773934,0.0730013,0,0.00999999,0,nan,nan,nan,-1
224,14.3291,3.9998,0.774664,0.0729299,0,0.00999999,0,nan,nan,nan,-1
225,14.3363,4.0068,0.775393,0.0728584,0,0.00999999,0,nan,nan,nan,-1
226,14.3434,4.0138,0.776121,0.072787,0,0.00999999,0,nan,nan,nan,-1
227,14.3505,4.02081,0.776849,0.0727156,0,0.00999999,0,nan,nan,nan,-1
228,14.3577,4.02782,0.777575,0.0726442,0,0.00999999,0,nan,nan,nan,-1
229,14.3648,4.03484,0.778302,0.0725727,0,0.00999999,0,nan,nan,nan,-1
230,14.3719,4.04186,0.779027,0.0725013,0,0.00999999,0,nan,nan,nan,-1
231,14.379,4.04889,0.779752,0.0724299,0,0.00999999,0,nan,nan,nan,-1
232,14.3861,4.05593,0.780476,0.0723584,0,0.00999999,0,nan,nan,nan,-1
233,14.3932,4.06296,0.781199,0.072287,0,0.00999999,0,nan,nan,nan,-1
234,14.4003,4.07001,0.781921,0.0722156,0,0.00999999,0,nan,nan,nan,-1
235,14.4074,4.07706,0.782643,0.0721442,0,0.00999999,0,nan,nan,nan,-1
236,14.4145,4.08411,0.783364,0.0720727,0,0.00999999,0,nan,nan,nan,-1
237,14.4216,4.09117,0.784085,0.0720013,0,0.00999999,0,nan,nan,nan,-1
238,14.4287,4.09823,0.784804,0.0719299,0,0.00999999,0,nan,nan,nan,-1
239,14.4357,4.1053,0.785523,0.0718584,0,0.00999999,0,nan,nan,nan,-1
240,14.4428,4.11238,0.786241,0.071787,0,0.00999999,0,nan,nan,nan,-1
241,14.4499,4.11946,0.786959,0.0717156,0,0.00999999,0,nan,nan,nan,-1
242,14.4569,4.12654,0.787676,0.0716442,0,0.00999999,0,nan,nan,nan,-1
243,14.464,4.13363,0.788392,0.0715727,0,0.00999999,0,nan,nan,nan,-1
244,14.471,4.14073,0.789107,0.0715013,0,0.00999999,0,nan,nan,nan,-1
