step,x,y,psi,K,Kcmd,ds,wp_index,detour_wp_x,detour_wp_y,detour_kf,detour_obs_idx
94,0.939999,0.000791807,0.00205571,0.00242857,2.05091e-06,0.00999999,0,nan,nan,nan,-1
95,0.949999,0.000812487,0.00208035,0.0025,0.00295256,0.00999999,0,nan,nan,nan,-1
96,0.959999,0.000833414,0.002105,0.00242857,2.02748e-06,0.00999999,0,nan,nan,nan,-1
97,0.969999,0.000854587,0.00212964,0.00249999,0.00295255,0.00999999,0,nan,nan,nan,-1
98,0.979998,0.000876007,0.00215428,0.00242857,2.04698e-06,0.00999999,0,nan,nan,nan,-1
99,0.989998,0.000897672,0.00217892,0.00249999,0.00295256,0.00999999,0,nan,nan,nan,-1
100,0.999998,0.000919588,0.00220428,0.00257142,0.00302077,0.00999999,0,nan,nan,nan,-1
101,1.01,0.000941758,0.00222964,0.00249999,1.93319e-07,0.00999999,0,nan,nan,nan,-1
102,1.02,0.000964178,0.00225428,0.00242857,2.05068e-06,0.00999999,0,nan,nan,nan,-1
103,1.03,0.000986844,0.00227892,0.00249999,0.00295256,0.00999999,0,nan,nan,nan,-1
104,1.04,0.00100976,0.00230428,0.00257142,0.00302078,0.00999999,0,nan,nan,nan,-1
105,1.05,0.00103293,0.00232964,0.00249999,1.9206e-07,0.00999999,0,nan,nan,nan,-1
106,1.06,0.00105635,0.00235428,0.00242857,2.05056e-06,0.00999999,0,nan,nan,nan,-1
107,1.07,0.00108001,0.00237892,0.00249999,0.00295256,0.00999999,0,nan,nan,nan,-1
108,1.08,0.00110393,0.00240357,0.00242857,2.04713e-06,0.00999999,0,nan,nan,nan,-1
109,1.09,0.00112809,0.00242821,0.00249999,0.00295256,0.00999999,0,nan,nan,nan,-1
110,1.1,0.00115249,0.00245357,0.00257142,0.00302078,0.00999999,0,nan,nan,nan,-1
111,1.11,0.00117716,0.00247892,0.00249999,1.92714e-07,0.00999999,0,nan,nan,nan,-1
112,1.12,0.00120207,0.00250357,0.00242857,2.05036e-06,0.00999999,0,nan,nan,nan,-1
